oluyorum	1ST;SG;PRES;BE
oluyoruz	1ST;PL;PRES;BE
oluyorsun	2ND;SG;PRES;BE
oluyorsunuz	2ND;PL;PRES;BE
oluyor	3RD;SG;PRES;BE
oluyorlar	3RD;PL;PRES;BE
olurum	1ST;SG;AORIST;BE
oluruz	1ST;PL;AORIST;BE
olursun	2ND;SG;AORIST;BE
olursunuz	2ND;PL;AORIST;BE
olur	3RD;SG;AORIST;BE
olurlar	3RD;PL;AORIST;BE
olmuyorum	1ST;SG;PRES;NEG;BE
olmuyoruz	1ST;PL;PRES;NEG;BE
olmuyorsun	2ND;SG;PRES;NEG;BE
olmuyorsunuz	2ND;PL;PRES;NEG;BE
olmuyor	3RD;SG;PRES;NEG;BE
olmuyorlar	3RD;PL;PRES;NEG;BE
olmam	1ST;SG;AORIST;NEG;BE
olmayiz	1ST;PL;AORIST;NEG;BE
olmazsin	2ND;SG;AORIST;NEG;BE
olmazsiniz	2ND;PL;AORIST;NEG;BE
olmaz	3RD;SG;AORIST;NEG;BE
olmazlar	3RD;PL;AORIST;NEG;BE
